isbn13	titulo	link_detalle	link_imagen	materia	autor	editorial	fecha_pub	id_coleccion	autor_principal	link_indice	link_resenya	precio	tipo_iva	paginas
9788498768879	Tomo XXIV Esquemas de Sucesiones y Herencias	http://www.tirant.com/detalle?articulo=9788498768879	http://www.tirant.com/portadas/9788498768879.jpg	0100000000|0101000000|0101120000|0100000000|0117000000|0117010000|	|Fernando Sanmartín Escriche |Elena Lacalle Serer	Tirant lo Blanch	09/2010	2588	Fernando Sanmartín Escriche	http://www.tirant.com/indexes/9788498768879.txt	http://www.tirant.com/resenyas/9788498768879-resenya.txt	12.00	3	222
9788498762167	Tomo XVI Esquemas de subcontratación y prevención de riesgos laborales en la construcción	http://www.tirant.com/detalle?articulo=9788498762167	http://www.tirant.com/portadas/9788498762167.jpg	0100000000|0104000000|0104120000|	|Juan Alegre López |Antonio Moreno Martínez |José Vicente Máñez Martínez	Tirant lo Blanch	09/2008	2588	Juan Alegre López	http://www.tirant.com/indexes/9788498762167.txt	http://www.tirant.com/resenyas/9788498762167-resenya.txt	17.00	3	477
9788498762303	Teoría de la comunicación mediática	http://www.tirant.com/detalle?articulo=9788498762303	http://www.tirant.com/portadas/9788498762303.jpg	0300000000|0310000000|0310030000|0300000000|0319000000|	|Pilar Carrera	Tirant lo Blanch	09/2008	2686	Pilar Carrera	http://www.tirant.com/indexes/9788498762303.txt	http://www.tirant.com/resenyas/9788498762303-resenya.txt	16.00	3	286
9788498762310	Responsabilidad civil extracontractual en el derecho europeo	http://www.tirant.com/detalle?articulo=9788498762310	http://www.tirant.com/portadas/9788498762310.jpg	0100000000|0101000000|0101080000|0101080400|0100000000|0117000000|0117010000|	|Guillermo Palao Moreno	Tirant lo Blanch	09/2008	47	Guillermo Palao Moreno	http://www.tirant.com/indexes/9788498762310.txt	http://www.tirant.com/resenyas/9788498762310-resenya.txt	27.00	3	453
9788498762129	La titularidad conjunta de la marca Comunidad y marca	http://www.tirant.com/detalle?articulo=9788498762129	http://www.tirant.com/portadas/9788498762129.jpg	0100000000|0101000000|0101260000|0100000000|0117000000|0117010000|	|Maria Isabel Grimaldos García	Tirant lo Blanch	09/2008	42	Maria Isabel Grimaldos García	http://www.tirant.com/indexes/9788498762129.txt	http://www.tirant.com/resenyas/9788498762129-resenya.txt	11.00	3	125
9788498762082	El delito de acoso moral en el trabajo	http://www.tirant.com/detalle?articulo=9788498762082	http://www.tirant.com/portadas/9788498762082.jpg	0100000000|0103000000|0103070000|0103070800|0100000000|0117000000|0117010000|	|Luis Lafont Nicuesa	Tirant lo Blanch	09/2008	39	Luis Lafont Nicuesa	http://www.tirant.com/indexes/9788498762082.txt	http://www.tirant.com/resenyas/9788498762082-resenya.txt	21.00	3	467
9788498762051	Internacionalización de las Cooperativas	http://www.tirant.com/detalle?articulo=9788498762051	http://www.tirant.com/portadas/9788498762051.jpg	0100000000|0101000000|0101170000|0101170200|0100000000|0117000000|0117010000|	|Manuel Eduardo Morán García |Daniel Betancur |Alfonso Cano López |Dante Cracogna |Emilio Cecenrrado Millán |Lydia Esteve González |J. Daniel Gómez López |Carmen Pastor Sempere	Tirant lo Blanch	09/2008	39	Manuel Eduardo Morán García	http://www.tirant.com/indexes/9788498762051.txt	http://www.tirant.com/resenyas/9788498762051-resenya.txt	16.00	3	230
9788498762532	Política migratoria de la Unión Europea	http://www.tirant.com/detalle?articulo=9788498762532	http://www.tirant.com/portadas/9788498762532.jpg	0100000000|0102000000|0102200000|0100000000|0109000000|0109030000|	|Antonio Muñoz Aunión	Tirant lo Blanch	09/2008	39	Antonio Muñoz Aunión	http://www.tirant.com/indexes/9788498762532.txt	http://www.tirant.com/resenyas/9788498762532-resenya.txt	31.00	3	621
9788498762525	Las retribuciones de los empleados públicos	http://www.tirant.com/detalle?articulo=9788498762525	http://www.tirant.com/portadas/9788498762525.jpg	0100000000|0102000000|0102100000|0100000000|0117000000|0117010000|	|Carmen Ortuño Navalón |Rafael Manzana Laguarda	Tirant lo Blanch	09/2008	39	Carmen Ortuño Navalón	http://www.tirant.com/indexes/9788498762525.txt	http://www.tirant.com/resenyas/9788498762525-resenya.txt	16.00	3	205
9788498766134	Manual de Derecho Inmobiliario Registral	http://www.tirant.com/detalle?articulo=9788498766134	http://www.tirant.com/portadas/9788498766134.jpg	0100000000|0101000000|0101010000|0200000000|0215000000|	|Francisco Javier Sánchez Calero |Blanca Sánchez-Calero Arribas	Tirant lo Blanch	09/2009	2647	Francisco Javier Sánchez Calero	http://www.tirant.com/indexes/9788498766134.txt	http://www.tirant.com/resenyas/9788498766134-resenya.txt	14.00	3	182
